scholarship_id,scholarship_name,provider,provider_type,source,official_source_url,application_url,country_of_provider,study_country,eligible_nationalities,education_level,study_mode,field_of_study,age_min,age_max,academic_requirement,minimum_percentage_or_gpa,family_income_limit,gender_eligibility,category_eligibility,disability_eligibility,residency_requirement,scholarship_amount,currency,funding_type,tuition_coverage,living_expense_coverage,travel_coverage,accommodation_coverage,application_fee,application_deadline,scholarship_duration,number_of_awards,documents_required,eligibility_criteria,selection_criteria,description,renewable,last_verified
SCH_0001,AAI Sports Scholarship Scheme in India,Airports Authority of India (AAI),Public Sector Enterprise / Govt of India,Kaggle,https://www.aai.aero/,https://www.aai.aero/en/sports-scholarship,India,India,Indian,Undergraduate,Full-time,All,14,24,Represented State / National level in recognized sports events,Passing marks,Not specified,Any,General,Sports quota for para-athletes,Indian resident,"Rs. 12,000 - Rs. 16,000 per month",INR,Stipend,Not specified,Monthly stipend for training and education,Travel allowance for sports events,Not specified,Free,2026-10-31,1 year (renewable),Multiple across sporting categories,"Sports achievement certificates, Age proof, Aadhaar card, Educational marksheets, Bank details","Indian sports players between 14-24 years who have represented in sub-junior, junior, or senior national/state tournaments.","Evaluation of sports achievements, trial performances, and committee review.",AAI Sports Scholarship aims to encourage and support young promising sportspersons to excel in national and international sports while pursuing education.,Yes (based on athletic performance),2026-09-16
SCH_0002,Abdul Kalam Technology Innovation National Fellowship,Indian National Academy of Engineering (INAE) / DST,Government / Research Academy,Kaggle,https://www.inae.in/research-innovation/abdul-kalam-technology-innovation-national-fellowship/,https://www.inae.in/,India,India,Indian,PhD,Full-time,"Engineering, Technology Innovation",35,60,Doctoral degree or master degree with outstanding translational technology contribution,High academic / R&D track record,Not specified,Any,General,Equal Opportunity,Indian citizen working in Indian public/private institution,"Rs. 25,000 per month + Rs. 15,00,000 per year research grant",INR,Fellowship,Full research grant,Monthly honorarium in addition to regular salary,Covered via overheads and contingency grant,Not specified,Free,2026-06-30,3 years (extendable up to 5 years),Up to 10 fellowships annually,"Detailed project proposal, CV, Patents/Publications record, Host institute nomination",Engineers and technologists working in India with proven track record of translational research and technology development.,"Technological impact of work, patents, commercialization, and proposal quality.",Prestigious national fellowship recognizing and supporting outstanding innovators in engineering and translational research in India.,Yes (up to 2 additional years),2026-09-16
SCH_0003,Dr. Ambedkar Post Matric Scholarship for Economically Backward Classes,"Ministry of Social Justice & Empowerment, Govt. of India",Government,Kaggle,https://socialjustice.gov.in/,https://scholarships.gov.in/,India,India,Indian,Undergraduate,Full-time,All post-matric courses,17,35,Passed Class 10 / Matriculation,Passing marks,100000,Any,"EWS, Economically Backward Classes (EBC)",Equal Opportunity,Indian citizen,Maintenance allowance up to Rs. 750/month + compulsory non-refundable fee waiver,INR,Stipend,Compulsory course fee reimbursement,Maintenance allowance,Not specified,Hostel allowance included,Free,2026-11-30,Entire duration of the course,State quota allocations,"Income certificate, EBC certificate, Marksheets, Fee receipt, Bank passbook, Aadhaar",General category candidates belonging to Economically Backward Classes whose parental income does not exceed Rs. 1.00 Lakh per annum.,Income verification and post-matric course enrolment confirmation.,Centrally sponsored scheme providing financial assistance to EBC students pursuing higher studies post-Class 10.,Yes (subject to annual examination passing),2026-09-16
SCH_0004,Glow and Lovely Career Foundation Scholarship,Hindustan Unilever Limited (Glow & Lovely Foundation),Corporate CSR,Kaggle,https://www.glowandlovelycareers.in/,https://www.glowandlovelycareers.in/en/scholarships,India,India,Indian,Undergraduate,Full-time,All undergraduate and postgraduate courses,15,30,Minimum 60% in Class 10 and 12,60%,600000,Female,General,Equal Opportunity,Indian resident,"Rs. 25,000 to Rs. 50,000 per year",INR,Grant,Tuition assistance grant,Not specified,Not specified,Not specified,Free,2026-12-31,1 to 4 years,Approx. 50-100 annually,"Photo ID, Class 10 & 12 marksheets, Income certificate, College admission proof",Female students who have passed Class 12 with 60%+ marks and whose annual family income is under Rs. 6 Lakhs.,"Academic merit, financial background, and essay/telephonic interview.",Flagship corporate scholarship empowering meritorious women to pursue higher education and build professional careers.,Yes (based on consistent academic progress),2026-09-16
SCH_0005,INSPIRE Scholarship for Higher Education (SHE),"Department of Science and Technology (DST), Govt. of India",Government,Kaggle,https://online-inspire.gov.in/,https://online-inspire.gov.in/,India,India,Indian,Undergraduate,Full-time,"Natural and Basic Sciences (B.Sc., B.S., Int. M.Sc./M.S.)",17,22,Top 1% in Class 12 board exams or top rank in JEE/NEET pursuing natural sciences,Top 1% of State/Central Board,Not specified,Any,General,Equal Opportunity,Indian resident,"Rs. 80,000 per year (Rs. 60,000 scholarship + Rs. 20,000 mentorship project grant)",INR,Full,Covered via annual grant,"INR 5,000 monthly cash stipend",Mentorship summer project travel allowance,Supported via stipend,Free,2026-11-30,5 years (or completion of M.Sc.),"10,000 scholarships annually","Class 12 marksheet, Class 10 certificate, College admission certificate/endorsement, Aadhaar, Bank passbook",Students within top 1% at Class 12 board examination studying basic/natural sciences at college level.,Direct cut-off merit list based on respective Board percentiles.,Inspires talented youth to study natural and basic sciences and build careers in research and scientific innovation.,Yes (requires 60% or 7.0 CGPA every year),2026-09-16
SCH_0006,Indira Gandhi UGC PG Scholarship for Single Girl Child,University Grants Commission (UGC),Government,Kaggle,https://www.ugc.gov.in/,https://scholarships.gov.in/,India,India,Indian,Postgraduate,Full-time,Non-professional Master degree programs,20,30,First year regular full-time Master degree student in recognized university,Passing graduation degree,Not specified,Female,General,Equal Opportunity,Indian citizen,"Rs. 36,200 per annum",INR,Stipend,Not specified,"INR 36,200 per year maintenance allowance",Not specified,Not specified,Free,2026-10-31,2 years,"3,000 slots per year","Affidavit on Rs. 50 stamp paper declaring single girl child, Graduation marksheet, College joining proof",Any single girl child who is the only child of her parents and is enrolled in 1st year regular PG course.,Direct award to eligible validated single girl child applicants.,Supports postgraduate education of single girl children across India to promote gender equity in higher studies.,Yes (for second year upon promotion),2026-09-16
SCH_0007,National Fellowship for Persons with Disabilities (NFPwD),Department of Empowerment of Persons with Disabilities / UGC,Government,Kaggle,https://disabilityaffairs.gov.in/,https://www.ugc.gov.in/,India,India,Indian,PhD,Full-time,All academic research disciplines (M.Phil / Ph.D),21,40,Enrolled in regular full-time M.Phil / Ph.D in recognized Indian university,55% in Master degree (50% for SC/ST/PwD),Not specified,Any,General,Persons with benchmark disability of 40% and above,Indian citizen,"Rs. 31,000 to Rs. 35,000 per month + HRA + contingency",INR,Full,Exemption / reimbursement of institutional research fees,Monthly JRF/SRF stipend,Travel grant for academic fieldwork and conferences,House Rent Allowance (HRA) as per city grade,Free,2026-08-31,5 years,200 slots per annum,"Disability certificate (40%+ benchmark), Master degree certificate, Research enrollment proof, Aadhaar",Candidates with benchmark disabilities admitted to full-time research programs at universities recognized by UGC.,Merit list prepared based on qualifying postgraduation marks and verification.,Fellowship scheme enabling students with disabilities to pursue advanced research degrees in Indian institutions.,Yes (annually through research progress review),2026-09-16
SCH_0008,National Overseas Scholarship (NOS) for SC / ST Candidates,"Ministry of Social Justice & Empowerment, Govt. of India",Government,Kaggle,https://nosmsje.gov.in/,https://nosmsje.gov.in/,India,International,Indian,Postgraduate,Full-time,"Science, Engineering, Management, Humanities, Social Sciences abroad",18,35,Minimum 60% in bachelor or master degree + unconditional offer letter from top 500 QS ranked university,60%,800000,Any,"SC, ST, De-notified Tribes",Equal Opportunity,Indian resident belonging to designated marginalized categories,"Full tuition fees + annual maintenance allowance (USD 15,400 / GBP 9,900) + flight",USD,Full,100% tuition fee paid directly to foreign university,"Annual maintenance allowance USD 15,400 (USA) / GBP 9,900 (UK)",Round-trip economy international airfare + visa fees,Covered via living allowance,Free,2026-06-30,1 to 3 years (Master) / 4 years (Ph.D),125 slots per year,"Caste certificate, Income certificate, Unconditional offer letter from foreign university, Degree marksheet","SC, Nomadic, and Semi-Nomadic tribe students having family income below Rs. 8 Lakh per year with foreign university admission.",QS world university ranking of host institution and candidate academic performance.,Flagship government overseas scholarship facilitating master and doctoral studies at top global institutions.,Yes (duration of course),2026-09-16
SCH_0009,ONGC Sports Scholarship Scheme,Oil and Natural Gas Corporation (ONGC),Public Sector Enterprise / Govt of India,Kaggle,https://www.ongcindia.com/,https://ongcindia.com/wps/wcm/connect/en/sports/sports-scholarship,India,India,Indian,Undergraduate,Full-time,All,14,25,Represented India or podium finish in National Championships,Passing marks,Not specified,Any,General,Dedicated quota for para-sportspersons,Indian citizen,"Rs. 15,000 to Rs. 30,000 per month",INR,Stipend,Not specified,Monthly scholarship stipend for sports training and equipment,Travel support for national tournaments,Not specified,Free,2026-09-30,1 to 2 years,Up to 250 sportspersons across 25 games,"Certificate of sports participation/podium finish, Birth certificate, Educational certificate, Bank details",Young promising sportspersons with outstanding records at national or international level in designated sports.,"Sports merit ranking, trials, and performance review by ONGC Sports Council.",ONGC provides financial assistance to emerging athletic talents to pursue higher education alongside competitive sports.,Yes (based on athletic progression),2026-09-16
SCH_0010,Pragati Scholarship Scheme for Girl Students (AICTE),All India Council for Technical Education (AICTE),Government,Kaggle,https://www.aicte-india.org/,https://scholarships.gov.in/,India,India,Indian,Undergraduate,Full-time,"Technical Education (Engineering, Pharmacy, Architecture, Technology)",17,25,Admitted to 1st year of degree/diploma program in AICTE approved institution,Passed 10+2 / Diploma exam,800000,Female,General,Equal Opportunity,Indian resident,"Rs. 50,000 per annum",INR,Grant,"Lump sum grant for tuition, books, equipment, software",Covered under lump sum annual amount,Not specified,Not specified,Free,2026-10-31,4 years (Degree) / 3 years (Diploma),"10,000 scholarships annually","Class 10 & 12 marksheets, Income certificate, Fee receipt, Institute verification, Bank passbook",Girl students admitted to AICTE approved technical programs; maximum 2 girls per family; family income under 8 LPA.,Merit list prepared on the basis of qualifying examination score.,Scheme to provide encouragement and financial support to girl students to pursue technical education.,Yes (on promotion to next academic year),2026-09-16
